                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2222,                 1.5591,                 1.0974,                 1.3237,                 3.4657,                 1.1184,                 0.6372,                0.69605,                0.70349,                0.44922,                 1.2214,                0.73498,                 1.1494,                 1.2834,                0.77254,                 1.1886,               0.003318,               0.003318,               0.003318
                      2,                 1.1454,                0.76871,                 1.0828,                 1.2652,                0.81461,                 1.1167,                0.76325,                0.74871,                0.76713,                 0.4759,                 1.2169,                0.70505,                 1.1556,                 1.2819,                0.64797,                 1.2102,              0.0066267,              0.0066267,              0.0066267
                      3,                 1.1824,                0.78158,                 1.0966,                 1.3168,                  0.839,                 1.1416,                0.68443,                0.73297,                0.72712,                0.44338,                 1.2949,                0.77113,                  1.183,                 1.3795,                0.72005,                 1.2363,              0.0099109,              0.0099109,              0.0099109
                      4,                 1.2359,                 0.8365,                 1.1218,                 1.3736,                0.88156,                 1.1526,                0.76846,                0.64052,                0.71584,                0.46154,                 1.2456,                0.76765,                 1.1816,                 1.3247,                0.80043,                 1.2114,              0.0098892,              0.0098892,              0.0098892
                      5,                 1.2287,                0.83675,                 1.1274,                 1.3604,                0.90008,                  1.162,                 0.6168,                0.64492,                0.64138,                0.39002,                 1.3009,                0.81313,                 1.2165,                 1.3699,                0.76597,                 1.2455,              0.0098892,              0.0098892,              0.0098892
                      6,                 1.2213,                0.84327,                 1.1315,                 1.3586,                0.89569,                 1.1761,                0.73156,                0.71427,                0.74543,                0.45987,                  1.209,                0.78117,                 1.1816,                 1.2986,                0.77983,                 1.2308,              0.0098522,              0.0098522,              0.0098522
                      7,                 1.2284,                0.84769,                 1.1307,                 1.3592,                0.91299,                 1.1726,                0.74775,                0.65407,                 0.7248,                0.47385,                 1.2164,                0.75383,                 1.1735,                  1.277,                0.74752,                 1.1912,              0.0098153,              0.0098153,              0.0098153
                      8,                 1.2077,                0.82325,                 1.1141,                 1.3415,                0.89378,                 1.1583,                0.69814,                 0.7011,                 0.6948,                0.44438,                 1.2482,                0.76525,                 1.2007,                 1.3187,                0.76828,                 1.2251,              0.0097784,              0.0097784,              0.0097784
                      9,                 1.2065,                0.81244,                 1.1124,                 1.3442,                0.86999,                 1.1576,                0.68221,                0.69795,                0.73075,                0.45742,                 1.2521,                0.74388,                 1.1839,                 1.3327,                0.73454,                 1.2245,              0.0097414,              0.0097414,              0.0097414
                     10,                 1.2197,                0.82771,                 1.1214,                 1.3592,                0.87945,                 1.1593,                0.72711,                 0.7161,                0.73812,                 0.4689,                  1.264,                 0.7334,                 1.1747,                 1.3091,                0.68804,                 1.1971,              0.0097045,              0.0097045,              0.0097045
                     11,                 1.2037,                0.81694,                 1.1147,                 1.3319,                0.86216,                 1.1528,                0.70734,                0.68501,                0.72277,                 0.4581,                 1.2425,                0.73139,                 1.1748,                 1.3014,                 0.7516,                 1.2178,              0.0096675,              0.0096675,              0.0096675
                     12,                 1.1892,                0.79714,                 1.1054,                 1.3323,                0.84468,                 1.1471,                0.67023,                0.71409,                0.72691,                0.45828,                 1.2717,                0.75512,                 1.2122,                 1.3219,                0.76003,                 1.2052,              0.0096306,              0.0096306,              0.0096306
                     13,                  1.188,                0.79053,                 1.1139,                 1.3222,                0.83022,                 1.1454,                0.74205,                0.69196,                0.74193,                0.46906,                 1.2098,                0.70192,                 1.1708,                 1.2483,                0.68637,                  1.186,              0.0095937,              0.0095937,              0.0095937
                     14,                 1.2011,                0.80177,                 1.1077,                 1.3431,                0.84349,                 1.1469,                0.74111,                0.70774,                0.76734,                0.48188,                 1.2113,                0.72448,                 1.1809,                 1.2789,                0.68813,                 1.2188,              0.0095567,              0.0095567,              0.0095567
                     15,                 1.1748,                0.77349,                 1.0996,                 1.3108,                0.80949,                 1.1352,                0.75281,                0.72117,                0.77556,                0.48706,                 1.1985,                0.68533,                 1.1628,                 1.2559,                 0.6595,                 1.1827,              0.0095198,              0.0095198,              0.0095198
                     16,                 1.1811,                0.78728,                 1.1013,                 1.3203,                0.83493,                 1.1416,                0.69413,                0.73257,                0.76989,                0.45835,                 1.2583,                0.71502,                 1.1819,                 1.3482,                0.69704,                 1.2246,              0.0094828,              0.0094828,              0.0094828
                     17,                 1.1703,                0.75947,                 1.0981,                 1.3142,                0.78727,                 1.1347,                0.79841,                0.76613,                0.82511,                0.48613,                 1.2345,                 0.6821,                 1.1991,                 1.3417,                0.61728,                 1.2506,              0.0094459,              0.0094459,              0.0094459
                     18,                 1.1729,                0.77042,                  1.102,                 1.3063,                0.79101,                  1.144,                0.75614,                0.76993,                0.77484,                0.48457,                  1.231,                0.69558,                 1.1747,                 1.3038,                0.60731,                 1.2081,               0.009409,               0.009409,               0.009409
                     19,                 1.1644,                0.75509,                 1.0969,                  1.302,                 0.7701,                 1.1358,                0.84012,                0.75857,                 0.8445,                0.52023,                 1.2038,                0.66535,                 1.1786,                 1.2956,                0.60503,                 1.2284,               0.009372,               0.009372,               0.009372
                     20,                 1.1545,                0.76086,                 1.0795,                 1.2942,                0.77921,                   1.12,                0.74256,                0.76423,                0.79911,                0.51364,                 1.2166,                0.67657,                 1.1699,                 1.3127,                 0.6265,                  1.207,              0.0093351,              0.0093351,              0.0093351
                     21,                 1.1383,                0.73452,                 1.0879,                 1.2867,                0.75797,                 1.1158,                0.75437,                0.68428,                0.74385,                0.47135,                 1.2196,                0.67716,                 1.1759,                 1.2798,                0.63543,                 1.1959,              0.0092981,              0.0092981,              0.0092981
                     22,                 1.1541,                0.73531,                 1.0972,                 1.2847,                0.76348,                 1.1318,                0.92391,                0.72132,                 0.8491,                0.49626,                 1.2095,                0.66466,                 1.1554,                 1.3257,                0.63799,                 1.2021,              0.0092612,              0.0092612,              0.0092612
                     23,                 1.1478,                0.73596,                 1.0888,                 1.2869,                0.77027,                 1.1266,                0.80895,                0.74385,                0.82179,                0.50353,                 1.2107,                 0.6851,                 1.1614,                 1.3047,                0.65536,                 1.1983,              0.0092243,              0.0092243,              0.0092243
                     24,                 1.1393,                 0.7264,                 1.0961,                 1.2717,                0.76106,                 1.1266,                0.71742,                0.78212,                0.79981,                0.50772,                 1.2038,                0.69696,                 1.1763,                 1.2706,                 0.6754,                 1.1874,              0.0091873,              0.0091873,              0.0091873
                     25,                   1.13,                0.71926,                 1.0743,                 1.2624,                0.74121,                 1.1097,                0.86171,                0.67842,                0.80936,                0.50473,                 1.2212,                 0.6933,                 1.1637,                 1.2727,                0.64445,                 1.1803,              0.0091504,              0.0091504,              0.0091504
                     26,                 1.1284,                0.71705,                 1.0814,                 1.2615,                0.73754,                 1.1134,                0.71229,                0.78767,                0.76913,                0.47414,                 1.2036,                0.65936,                 1.1699,                  1.286,                0.66546,                 1.1732,              0.0091134,              0.0091134,              0.0091134
                     27,                 1.1364,                0.71181,                 1.0784,                  1.258,                0.71894,                 1.1091,                0.83073,                0.72537,                 0.7855,                0.47877,                 1.2357,                0.66588,                 1.1751,                 1.2899,                0.64393,                 1.1847,              0.0090765,              0.0090765,              0.0090765
                     28,                 1.1186,                0.69359,                 1.0745,                  1.251,                0.71526,                 1.1042,                 0.9003,                0.76435,                0.83645,                0.53856,                 1.1822,                0.63883,                 1.1494,                 1.2398,                0.62388,                 1.1514,              0.0090396,              0.0090396,              0.0090396
